N,subset_id,C,alpha,alpha_stderr,points
7,0,2.9585481156726194,-0.0004846365907848283,0.00021669515256144808,4
7,1,3.499999999999999,-0.00016363808840963125,0.00040221478735975863,4
7,2,1.719588643607998,5.302816984818949e-05,0.0001510210809442684,4
7,3,2.9585481156726186,4.685384909278892e-05,0.00063068774390473,4
7,4,2.9585481156726248,-5.3043685098885026e-05,0.00044821599255625265,4
7,5,3.499999999999997,-4.255917583915785e-05,7.839101148540032e-05,4
7,6,2.481519429424677,0.002842600552980523,0.0009513047956514834,4
7,7,3.499999999999998,0.00022099449054690108,0.00010766538748904567,4
7,8,2.4815194294246803,-0.0004824392945232881,0.00010418394370883342,4
7,9,2.481519429424678,-0.00046321840825936717,0.00013204794656145426,4
7,10,2.5542808756299946,0.00017124371241529908,0.0001980684999364025,4
7,11,3.499999999999997,0.0003433506119371957,0.00011070982164359942,4
